ID_cliente,Nombre_cliente,Apellido_cliente,Email_cliente,Telefono_cliente
114,Manuel,Martínez,cliente_114@cesconet.com,0938597074
115,Rosa,López,cliente_115@cesconet.com,0934212724
116,Patricia,Pérez,cliente_116@cesconet.com,0919057130
117,María,Vásquez,cliente_117@cesconet.com,0946544059
118,Luis,Moreno,cliente_118@cesconet.com,0914006073
119,Jorge,Vásquez,cliente_119@cesconet.com,0937037045
120,Rosa,López,cliente_120@cesconet.com,0999421432
121,Jorge,García,cliente_121@cesconet.com,0983173155
122,Ana,Vásquez,cliente_122@cesconet.com,0938864680
123,Patricia,Moreno,cliente_123@cesconet.com,0944663947
124,Sofía,Martínez,cliente_124@cesconet.com,0976727965
125,Jorge,Moreno,cliente_125@cesconet.com,0991464732
126,Patricia,Vásquez,cliente_126@cesconet.com,0936438498
127,Patricia,González,cliente_127@cesconet.com,0991693778
128,Carlos,García,cliente_128@cesconet.com,0965143422
129,Manuel,Vásquez,cliente_129@cesconet.com,0904356889
130,María,López,cliente_130@cesconet.com,0974804829
131,Manuel,Martínez,cliente_131@cesconet.com,0902930817
132,Manuel,Pérez,cliente_132@cesconet.com,0924945731
133,María,García,cliente_133@cesconet.com,0974602076
134,Esteban,García,cliente_134@cesconet.com,0981102070
135,Ana,Ruiz,cliente_135@cesconet.com,0936218334
136,Carlos,Vásquez,cliente_136@cesconet.com,0920947687
137,Esteban,González,cliente_137@cesconet.com,0977478902
138,Esteban,Moreno,cliente_138@cesconet.com,0989952767
139,Patricia,Ruiz,cliente_139@cesconet.com,0981224850
140,Sofía,Martínez,cliente_140@cesconet.com,0981530221
141,Jorge,García,cliente_141@cesconet.com,0909376924
142,Sofía,Pérez,cliente_142@cesconet.com,0924335408
143,Patricia,Moreno,cliente_143@cesconet.com,0991346042
144,Luis,González,cliente_144@cesconet.com,0916621592
145,Esteban,Vásquez,cliente_145@cesconet.com,0913551618
146,Sofía,Vásquez,cliente_146@cesconet.com,0902587749
147,Ana,López,cliente_147@cesconet.com,0910502470
148,Esteban,González,cliente_148@cesconet.com,0961923508
149,Luis,López,cliente_149@cesconet.com,0968870600
150,María,López,cliente_150@cesconet.com,0949300975
